"variable"	"value"	"Expected.genome.size"	"Expected_ploidy"
"1"	"yHRW134"	45.676	24	"2N"
"2"	"yHRW134"	39.853	24	"2N"
"3"	"yHRW134"	35.324	24	"2N"
"4"	"yHRW134"	43.864	24	"2N"
"5"	"yHRW134"	75.436	24	"2N"
"6"	"yHRW134"	39.982	24	"2N"
"7"	"yHRW134"	43.864	24	"2N"
"8"	"yHRW134"	30.278	24	"2N"
"9"	"yHRW134"	49.946	24	"2N"
"10"	"yHRW134"	34.16	24	"2N"
"11"	"yHRW134"	131.981	24	"2N"
"12"	"yHRW134"	57.968	24	"2N"
"13"	"yHRW134"	39.724	24	"2N"
"14"	"yHRW134"	49.687	24	"2N"
"15"	"yHRW134"	76.212	24	"2N"
"16"	"yHRW134"	43.994	24	"2N"
"17"	"yHRW134"	132.24	24	"2N"
"18"	"yHRW134"	47.746	24	"2N"
"19"	"yHRW134"	37.524	24	"2N"
"20"	"yHRW134"	28.337	24	"2N"
"21"	"yHRW134"	72.978	24	"2N"
"22"	"yHRW134"	40.112	24	"2N"
"23"	"yHRW134"	31.054	24	"2N"
"24"	"yHRW134"	32.478	24	"2N"
"25"	"yHRW134"	28.596	24	"2N"
"26"	"yHRW134"	34.16	24	"2N"
"27"	"yHRW134"	40.629	24	"2N"
"28"	"yHRW134"	21.091	24	"2N"
"29"	"yHRW134"	35.712	24	"2N"
"30"	"yHRW134"	33.772	24	"2N"
"31"	"yHRW134"	29.76	24	"2N"
"32"	"yHRW134"	42.182	24	"2N"
"33"	"yHRW134"	78.93	24	"2N"
"34"	"yHRW134"	27.69	24	"2N"
"35"	"yHRW134"	88.893	24	"2N"
"36"	"yHRW134"	40.629	24	"2N"
"37"	"yHRW134"	65.085	24	"2N"
"38"	"yHRW134"	30.925	24	"2N"
"39"	"yHRW134"	25.49	24	"2N"
"40"	"yHRW134"	53.827	24	"2N"
"41"	"yHRW134"	39.077	24	"2N"
"42"	"yHRW134"	53.698	24	"2N"
"43"	"yHRW134"	35.583	24	"2N"
"44"	"yHRW134"	43.088	24	"2N"
"45"	"yHRW134"	70.002	24	"2N"
"46"	"yHRW134"	58.486	24	"2N"
"47"	"yHRW134"	38.042	24	"2N"
"48"	"yHRW134"	46.84	24	"2N"
"49"	"yHRW134"	53.31	24	"2N"
"50"	"yHRW134"	38.688	24	"2N"
"51"	"yHRW134"	71.166	24	"2N"
"52"	"yHRW134"	39.077	24	"2N"
"53"	"yHRW134"	20.185	24	"2N"
"54"	"yHRW134"	35.454	24	"2N"
"55"	"yHRW134"	27.173	24	"2N"
"56"	"yHRW134"	35.065	24	"2N"
"57"	"yHRW134"	33.642	24	"2N"
"58"	"yHRW134"	37.783	24	"2N"
"59"	"yHRW134"	22.644	24	"2N"
"60"	"yHRW134"	57.58	24	"2N"
"61"	"yHRW134"	41.665	24	"2N"
"62"	"yHRW134"	38.43	24	"2N"
"63"	"yHRW134"	42.829	24	"2N"
"64"	"yHRW134"	77.636	24	"2N"
"65"	"yHRW134"	39.594	24	"2N"
"66"	"yHRW134"	30.278	24	"2N"
"67"	"yHRW134"	52.922	24	"2N"
"68"	"yHRW134"	29.113	24	"2N"
"69"	"yHRW134"	31.184	24	"2N"
"70"	"yHRW134"	25.749	24	"2N"
"71"	"yHRW134"	NA	24	"2N"
"72"	"yHRW134"	NA	24	"2N"
"73"	"yHRW134"	NA	24	"2N"
"74"	"yHRW134"	NA	24	"2N"
"75"	"yHRW134"	NA	24	"2N"
"76"	"yHRW134"	NA	24	"2N"
"77"	"yHRW134"	NA	24	"2N"
"78"	"yHRW134"	NA	24	"2N"
"79"	"yHRW22"	84.105	92	"8N"
